MatchID,GameID,Pistol Winner TeamID,Pistol Winner Team,Pistol Winner Side,Pistol Loser TeamID,Pistol Loser Team,Pistol Loser Side,Decision,Round 2 Winner,Round 3 Winner,Round 4 Winner,Round 5 Winner
684613,270746,1034,NRG,attack,13581,XLG,defense,eco,XLG,NRG,NRG,NRG
684613,270747,13581,XLG,defense,1034,NRG,attack,eco,XLG,XLG,XLG,XLG
684610,270737,11981,VIT,defense,2059,DRG,attack,force,VIT,VIT,VIT,DRG
684610,270738,11981,VIT,defense,2059,DRG,attack,eco,VIT,VIT,VIT,VIT
684611,270740,1184,FUT,attack,4050,FS,defense,eco,FUT,FS,FS,FUT
684611,270741,1184,FUT,attack,4050,FS,defense,force,FS,FS,FUT,FUT
684612,270743,2359,GE,attack,918,LEV,defense,eco,GE,GE,GE,GE
684612,270744,918,LEV,defense,2359,GE,attack,eco,LEV,GE,LEV,LEV
684612,270745,918,LEV,defense,2359,GE,attack,eco,LEV,GE,GE,GE
684614,270749,1184,FUT,attack,2059,VIT,defense,force,VIT,VIT,FUT,VIT
684614,270750,1184,FUT,attack,2059,VIT,defense,eco,FUT,FUT,FUT,VIT
684614,270751,1184,FUT,attack,2059,VIT,defense,force,FUT,FUT,VIT,VIT
684615,270752,2359,LEV,attack,1034,NRG,defense,eco,LEV,LEV,LEV,NRG
684615,270753,1034,NRG,defense,2359,LEV,attack,force,NRG,LEV,LEV,LEV
684615,270754,1034,NRG,defense,2359,LEV,attack,eco,NRG,LEV,LEV,LEV
684616,270755,11981,DRG,defense,13581,XLG,attack,force,XLG,XLG,DRG,DRG
684616,270756,11981,DRG,defense,13581,XLG,attack,eco,DRG,DRG,XLG,XLG
684616,270757,13581,XLG,attack,11981,DRG,defense,eco,XLG,XLG,DRG,XLG
684617,270758,918,GE,defense,4050,FS,attack,eco,GE,GE,GE,FS
684617,270759,4050,FS,attack,918,GE,defense,eco,FS,GE,GE,GE
684617,270760,918,GE,defense,4050,FS,attack,eco,GE,GE,GE,GE
684619,270764,1034,NRG,attack,1184,FUT,defense,eco,NRG,FUT,FUT,FUT
684619,270765,1184,FUT,defense,1034,NRG,attack,eco,FUT,NRG,FUT,NRG
684619,270766,1184,FUT,defense,1034,NRG,attack,eco,FUT,FUT,FUT,NRG
684618,270761,13581,XLG,attack,918,GE,defense,eco,XLG,GE,GE,GE
684618,270762,13581,XLG,attack,918,GE,defense,eco,XLG,GE,GE,GE
684618,270763,918,GE,defense,13581,XLG,attack,eco,GE,GE,XLG,XLG
670466,267804,2359,PRX,defense,624,LEV,attack,eco,PRX,LEV,PRX,PRX
670466,267805,624,LEV,attack,2359,PRX,defense,eco,LEV,PRX,LEV,PRX
670467,267807,1001,VIT,attack,2059,TH,defense,eco,VIT,VIT,VIT,TH
670467,267808,1001,VIT,attack,2059,TH,defense,eco,VIT,VIT,VIT,TH
670465,267801,1120,FUT,attack,1184,EDG,defense,eco,FUT,EDG,FUT,FUT
670465,267802,1120,FUT,attack,1184,EDG,defense,eco,FUT,EDG,FUT,FUT
670465,267803,1184,EDG,defense,1120,FUT,attack,eco,EDG,EDG,EDG,EDG
670464,267798,11058,XLG,attack,13581,G2,defense,eco,XLG,XLG,G2,XLG
670464,267799,11058,XLG,attack,13581,G2,defense,eco,XLG,XLG,G2,XLG
670464,267800,11058,XLG,attack,13581,G2,defense,eco,XLG,G2,XLG,G2
670473,267827,2359,LEV,defense,1001,TH,attack,eco,LEV,TH,LEV,TH
670473,267828,1001,TH,attack,2359,LEV,defense,eco,TH,LEV,LEV,LEV
670473,273204,2359,LEV,defense,1001,TH,attack,eco,LEV,TH,LEV,LEV
670472,267824,11058,FUT,attack,1184,G2,defense,eco,FUT,FUT,FUT,FUT
670472,267825,11058,FUT,attack,1184,G2,defense,eco,FUT,G2,G2,G2
670468,267810,13581,XLG,defense,1120,EDG,attack,eco,EDG,EDG,EDG,EDG
670468,267811,13581,XLG,defense,1120,EDG,attack,eco,XLG,EDG,XLG,EDG
670468,267812,13581,XLG,defense,1120,EDG,attack,eco,XLG,EDG,EDG,EDG
670469,267813,2059,PRX,defense,624,VIT,attack,eco,PRX,VIT,PRX,PRX
670469,267814,2059,PRX,defense,624,VIT,attack,eco,PRX,VIT,VIT,VIT
670469,267815,624,VIT,attack,2059,PRX,defense,eco,VIT,PRX,PRX,PRX
670475,267833,2359,XLG,defense,13581,LEV,attack,eco,XLG,LEV,LEV,LEV
670475,267834,13581,LEV,attack,2359,XLG,defense,eco,LEV,LEV,LEV,LEV
670474,267830,1184,FUT,attack,2059,VIT,defense,eco,FUT,VIT,FUT,VIT
670474,267831,2059,VIT,defense,1184,FUT,attack,eco,VIT,VIT,VIT,VIT
670470,267816,1120,PRX,attack,624,EDG,defense,eco,PRX,EDG,EDG,PRX
670470,267817,1120,PRX,attack,624,EDG,defense,eco,PRX,EDG,PRX,PRX
670470,267818,1120,PRX,attack,624,EDG,defense,eco,PRX,EDG,EDG,EDG
670476,267836,2059,VIT,defense,2359,LEV,attack,eco,VIT,VIT,LEV,LEV
670476,267837,2359,LEV,attack,2059,VIT,defense,eco,LEV,LEV,LEV,LEV
670477,267839,1120,LEV,attack,2359,EDG,defense,eco,LEV,EDG,EDG,LEV
670477,267840,2359,EDG,defense,1120,LEV,attack,eco,EDG,LEV,EDG,EDG
